epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0669,1.40578,4.4487,3.4134,1.20718,0,0.01947,0.60119,0.14572,0.08822,0.01266,0.3869,0.12308,0.05218,1.11796,2.30884,3.65661,1.04484,0,0.0005001,0.0005001,0.0005001
2,99.811,1.09736,2.38085,1.92774,1.02357,0,1,0.12843,0.37172,0.24197,1,0.12843,0.33339,0.19685,0.81843,1.48478,3.18979,0.90896,0,0.00103486,0.00103486,0.00103486
3,148.34,1.05406,1.84102,1.27989,1.02055,0,0.98122,0.38863,0.74644,0.51915,0.98122,0.38863,0.7458,0.48766,1.00443,1.4816,2.83561,1.01393,0,0.00154762,0.00154762,0.00154762
4,198.511,1.05367,1.7519,1.22913,1.01709,0,0.02935,0.99405,0.50336,0.36115,0.02843,0.97024,0.50649,0.28573,0.83555,2.17221,2.91754,0.95652,0,0.00156798,0.00156798,0.00156798
5,247.943,1.09917,1.87567,1.17384,1.04472,0,0.43813,0.10119,0.43646,0.2918,0.43813,0.10119,0.44182,0.25202,0.86466,1.85647,2.56237,0.96519,0,0.00153497,0.00153497,0.00153497
6,293.832,1.04059,1.83372,1.02881,0.98717,0,0.02752,0.9881,0.23749,0.17355,0.02248,0.83929,0.23022,0.12605,0.8887,3.62979,2.8476,1.00102,0,0.00150197,0.00150197,0.00150197
7,342.5,0.92592,1.64447,0.94955,0.95528,0,0.33528,0.57738,0.47892,0.36491,0.35389,0.58333,0.476,0.30126,0.8979,2.79125,2.67894,0.98584,0,0.00146896,0.00146896,0.00146896
8,391.805,0.89697,1.4337,0.92201,0.95225,0,0.42535,0.55595,0.51544,0.42466,0.42944,0.50595,0.5112,0.37051,0.75223,2.13511,2.59464,0.96137,0,0.00143595,0.00143595,0.00143595
9,440.173,0.86277,1.40345,0.88961,0.95816,0,0.92969,0.683,0.93209,0.76018,0.92969,0.683,0.92827,0.64639,0.64841,1.20674,1.84486,0.89693,0,0.00140295,0.00140295,0.00140295
10,484.273,0.84888,1.43142,0.80736,0.92169,0,0.99382,0.97097,0.99471,0.84316,0.99382,0.97097,0.99471,0.70941,0.65395,0.96171,1.10339,0.87371,0,0.00136994,0.00136994,0.00136994
11,529.129,0.82688,1.35728,0.81903,0.94614,0,0.99832,0.9988,0.995,0.85698,0.99832,0.9988,0.995,0.71766,0.61107,0.88741,0.89823,0.85681,0,0.00133693,0.00133693,0.00133693
12,573.502,0.81628,1.36871,0.78864,0.94807,0,0.9983,0.99869,0.995,0.86028,0.9983,0.99869,0.995,0.73237,0.57483,0.84253,0.86884,0.85385,0,0.00130393,0.00130393,0.00130393
13,620.64,0.74181,1.1546,0.7458,0.89193,0,0.99868,0.9993,0.995,0.87439,0.99868,0.9993,0.995,0.76598,0.53366,0.73667,0.85121,0.83705,0,0.00127092,0.00127092,0.00127092
14,808.764,0.76605,1.26363,0.72444,0.92226,0,0.99796,1,0.995,0.87578,0.99796,1,0.995,0.73349,0.55391,0.73574,0.79155,0.84018,0,0.00123791,0.00123791,0.00123791
15,855.736,0.75698,1.2834,0.70486,0.91084,0,0.99606,1,0.995,0.86243,0.99606,1,0.995,0.73148,0.55059,0.81453,0.73421,0.85158,0,0.00120491,0.00120491,0.00120491
16,899.866,0.70345,1.1417,0.69229,0.91108,0,0.99372,0.99997,0.995,0.87749,0.99372,0.99997,0.995,0.75903,0.51864,0.75316,0.67105,0.84503,0,0.0011719,0.0011719,0.0011719
17,944.891,0.73027,1.21651,0.66165,0.91474,0,0.98399,1,0.995,0.8859,0.98399,1,0.995,0.76155,0.4671,0.72649,0.59352,0.82846,0,0.00113889,0.00113889,0.00113889
18,1111.67,0.66079,1.15772,0.63447,0.88674,0,0.98511,0.99799,0.995,0.87134,0.98511,0.99799,0.995,0.73821,0.48814,0.76978,0.62167,0.82792,0,0.00110589,0.00110589,0.00110589
19,1157.2,0.6776,1.14639,0.63809,0.91102,0,0.99546,1,0.995,0.88576,0.99546,1,0.995,0.74329,0.47346,0.77401,0.59642,0.82586,0,0.00107288,0.00107288,0.00107288
20,1204.76,0.74522,1.19885,0.64474,0.9204,0,0.99833,1,0.995,0.88147,0.99833,1,0.995,0.77458,0.5032,0.72609,0.58804,0.82642,0,0.00103987,0.00103987,0.00103987
21,1251.42,0.65634,1.11733,0.59312,0.8825,0,0.99886,1,0.995,0.88008,0.99886,1,0.995,0.69319,0.50825,0.74984,0.55915,0.83009,0,0.00100687,0.00100687,0.00100687
22,1297.31,0.70013,1.0797,0.61297,0.88763,0,0.99892,1,0.995,0.86953,0.99892,1,0.995,0.7054,0.54174,0.72987,0.55916,0.8377,0,0.000973861,0.000973861,0.000973861
23,1342.92,0.69838,1.11851,0.60572,0.89144,0,0.99899,1,0.995,0.87824,0.99899,1,0.995,0.75825,0.5111,0.7091,0.5571,0.82843,0,0.000940855,0.000940855,0.000940855
24,1389.42,0.72242,1.23779,0.62472,0.9028,0,0.99911,1,0.995,0.8848,0.99911,1,0.995,0.76891,0.49644,0.71497,0.53911,0.82425,0,0.000907848,0.000907848,0.000907848
25,1435.84,0.65467,1.11604,0.58248,0.88917,0,0.99859,1,0.995,0.88657,0.99859,1,0.995,0.71593,0.47272,0.80105,0.48295,0.82283,0,0.000874842,0.000874842,0.000874842
26,1481.85,0.71059,1.19963,0.62139,0.91428,0,0.99886,1,0.995,0.8935,0.99886,1,0.995,0.72298,0.46267,0.77606,0.48588,0.8205,0,0.000841835,0.000841835,0.000841835
27,1527.89,0.6404,1.17828,0.56587,0.89114,0,0.99914,1,0.995,0.90471,0.99914,1,0.995,0.72677,0.44169,0.72028,0.48571,0.81672,0,0.000808828,0.000808828,0.000808828
28,1572.13,0.57495,0.95735,0.57999,0.85636,0,0.99908,1,0.995,0.90353,0.99908,1,0.995,0.71447,0.42384,0.69154,0.48227,0.81465,0,0.000775822,0.000775822,0.000775822
29,1618.46,0.59457,1.02462,0.53018,0.86797,0,0.99911,1,0.995,0.90973,0.99911,1,0.995,0.73145,0.41189,0.6773,0.44515,0.81294,0,0.000742815,0.000742815,0.000742815
30,1665.38,0.55161,0.88174,0.49887,0.85074,0,0.99908,1,0.995,0.91488,0.99908,1,0.995,0.74001,0.40742,0.66382,0.43645,0.81243,0,0.000709809,0.000709809,0.000709809
31,1709.61,0.58454,0.96788,0.52302,0.84928,0,0.99908,1,0.995,0.90747,0.99908,1,0.995,0.7332,0.41222,0.67997,0.42879,0.8131,0,0.000676802,0.000676802,0.000676802
32,1753.42,0.58074,0.974,0.50185,0.86848,0,0.99925,1,0.995,0.91374,0.99925,1,0.995,0.74923,0.40451,0.6612,0.42529,0.81156,0,0.000643795,0.000643795,0.000643795
33,1796.93,0.62988,1.14521,0.54419,0.89382,0,0.99805,1,0.995,0.90171,0.99805,1,0.995,0.78466,0.43041,0.67238,0.47338,0.81282,0,0.000610789,0.000610789,0.000610789
34,1840.65,0.60816,1.0047,0.55287,0.8695,0,0.99841,1,0.995,0.90976,0.99841,1,0.995,0.77181,0.41532,0.67439,0.47052,0.81059,0,0.000577782,0.000577782,0.000577782
35,1884.35,0.58509,0.97772,0.54571,0.87427,0,0.99922,1,0.995,0.91373,0.99922,1,0.995,0.75402,0.42534,0.68027,0.44853,0.81198,0,0.000544776,0.000544776,0.000544776
36,1927.79,0.61536,1.07913,0.56366,0.88769,0,0.99869,1,0.995,0.90927,0.99869,1,0.995,0.74205,0.43874,0.68947,0.43877,0.81472,0,0.000511769,0.000511769,0.000511769
37,1971.98,0.54895,0.96082,0.49463,0.8504,0,0.99857,1,0.995,0.92478,0.99857,1,0.995,0.77807,0.38884,0.64874,0.41425,0.80726,0,0.000478762,0.000478762,0.000478762
38,2941.47,0.58562,1.0369,0.51623,0.86123,0,0.99876,1,0.995,0.92034,0.99876,1,0.995,0.78298,0.41351,0.65852,0.41782,0.80983,0,0.000445756,0.000445756,0.000445756
39,2989.58,0.57159,0.97128,0.50408,0.86874,0,0.99907,1,0.995,0.91341,0.99907,1,0.995,0.77598,0.43016,0.67234,0.41623,0.81236,0,0.000412749,0.000412749,0.000412749
